Brand,Product Name,Model Number,PV Module Maximum Power [W],Number of Light Points,Main Unit Battery Chemistry
StarTimes,S130 Family,Modular,N/A,N/A,LiFePO4
StarTimes,S350 Solar Power System,S350,100,4,LiFePO4
Shenzhen LEMI,LM-LI015 Solar Home System,LM-LI015,14,3,Li-Ion
BeeBeeJump Technology Co. Ltd,P1L,--,14,3,LiFePO4
BeeBeeJump Technology Co. Ltd,P1L Family,Modular,N/A,N/A,LiFePO4
Solar Run,Eco Box,SR24C32YG,16,3,LiFePO4
Shenzhen Topray Solar Co. Ltd,10 W Solar Lighting System,TPS-612-GFS-10W-T,10,2,Li-ion
StarTimes,S350 Family,Modular,N/A,N/A,LiFePO4
Sun King,Sun King Boom/Easy Buy,SK-321/SK-322,2.7,1,LiFePO4
Solar Run,Apollo Family,Modular,N/A,N/A,LiFePO4
JUA Energy,Home Mate H2 Family,Modular,N/A,N/A,LiFePO4
Solar Run,Mbox Solar Home System,SR32B132YTZG,80,4,LiFePO4
d.light,Solar Lantern,T500R,5.6,2,Li-ion
Solar Run,Mbox Family,Modular,N/A,N/A,LiFePO4
Zonergy,ZSPD Family,Modular,N/A,N/A,LiFePO4
Zonergy,Solar Home System ZSPD-LFP0100B40,ZSPD-LFP0100B40,97,4,LiFePO4
Guangdong Jinyuan Solar Energy Co. Ltd,EC-SE04-S Solar Home Kit,EC-SE04-S,12,4,LiFePO4
SolarWorX,Solego Family,Modular,N/A,N/A,LiFePO4
IONA,Platinum,1,3.9,1,LiFePO4
Niwa Next Energy Products Ltd.,Home X PRO,Home X PRO,15,3,LiFePO4
IONA,Silver,2,3.3,1,LiFePO4
Sunlite,Multi-Functional Solar Lamp with Mobile Phone Charger,SUNLITE # CL-16 MOB (UPG),2.8,3,Li-Ion
JUA Energy,H2-40 Home Mate,H2-40,12,3,LiFePO4
Solar Run,Solar Lantern,SR067T1,3.1,2,LiFePO4
Supsolar,SupSolar Family,Modular,N/A,4,LiFePO5
SolarWorX,Solego 200 DC Solar Power System,N/A,92,5,LiFePO4
Solar Run,SR31C531XYTG Solar Home System,SR31C531XYTG,53,5,LiFePO4
Supsolar,Solar Medium Kit,SS-M05,11,4,LiFePO4
VSolaris,Apollo Family,Modular,N/A,N/A,LiFePO4
Omnivoltaic Energy Solutions Co. Ltd,LUMN L500,L500,5.7,1,Li-ion
Shenzhen LEMI,Mushroom Lantern,LM-L-01,4,1,LiFePO4
Chaohu Venus Solar Technology Co. Ltd.,Solar Home System,VEK1206-LFP,23,2,LiFePO4
Chaohu Venus Solar Technology Co. Ltd.,Solar Home System,VEK1210,32,2,Li-Ion
